Timestamp,Low,High,Open,Close,Weighted_Price
2020-06-01 00:15:00,9469.25,9492.77,9476.65,9483.69,90.13741164
2020-06-01 00:30:00,9455.31,9487.83,9481.72,9458.47,59.23468095
2020-06-01 00:45:00,9458.99,9505.7,9462.98,9496.15,187.67873765
2020-06-01 01:00:00,9470.6,9500.01,9496.15,9476.12,146.16110569
2020-06-01 01:15:00,9465.0,9490.01,9476.13,9490.01,109.06392448
2020-06-01 01:30:00,9485.0,9517.84,9490.01,9509.52,60.26704098
2020-06-01 01:45:00,9494.73,9567.13,9509.51,9551.12,166.98885341
2020-06-01 02:00:00,9533.08,9564.8,9551.11,9538.68,112.63485538
2020-06-01 02:15:00,9519.63,9550.67,9538.67,9536.68,83.27371029
2020-06-01 02:30:00,9530.0,9554.48,9536.67,9533.33,57.48006338
2020-06-01 02:45:00,9521.53,9547.93,9533.35,9528.77,107.95329474
2020-06-01 03:00:00,9510.04,9545.19,9528.58,9524.22,63.02984538
2020-06-01 03:15:00,9517.82,9542.61,9524.22,9541.83,55.72330576
2020-06-01 03:30:00,9534.06,9554.01,9541.83,9548.85,54.00793605
2020-06-01 03:45:00,9536.29,9554.48,9548.31,9548.48,51.42730827
2020-06-01 04:00:00,9550.0,9575.46,9550.0,9575.46,116.83006347
2020-06-01 04:15:00,9555.59,9615.0,9575.45,9563.28,183.27615084
2020-06-01 04:30:00,9540.23,9567.15,9562.49,9563.74,69.40032582
2020-06-01 04:45:00,9539.49,9563.74,9563.73,9548.99,68.12606909
2020-06-01 05:00:00,9535.78,9553.03,9547.3,9541.83,76.42876885
2020-06-01 05:15:00,9534.95,9546.63,9541.8,9539.35,25.68735847
2020-06-01 05:30:00,9539.34,9563.12,9539.35,9540.36,39.07762364
2020-06-01 05:45:00,9526.39,9546.75,9540.36,9531.69,42.89888244
2020-06-01 06:00:00,9529.46,9545.0,9531.69,9544.52,31.24005523
2020-06-01 06:15:00,9526.55,9550.0,9544.52,9542.62,28.8725553
2020-06-01 06:30:00,9542.61,9557.8,9542.61,9556.33,13.08698563
2020-06-01 06:45:00,9530.65,9556.33,9556.33,9532.03,23.31383158
2020-06-01 07:00:00,9530.92,9551.02,9532.49,9549.11,37.10658258
2020-06-01 07:15:00,9547.18,9562.89,9550.07,9559.67,34.92104299
2020-06-01 07:30:00,9555.02,9577.7,9559.27,9572.84,35.51320374
2020-06-01 07:45:00,9555.33,9576.15,9572.74,9567.35,50.29689793
2020-06-01 08:00:00,9540.14,9576.05,9567.35,9555.85,49.82277053
2020-06-01 08:15:00,9528.77,9555.85,9555.85,9541.82,76.44910084
2020-06-01 08:30:00,9531.89,9554.32,9542.01,9550.56,32.49697639
2020-06-01 08:45:00,9526.7,9550.57,9550.57,9532.56,21.89253125
